200
100
0	100
0	143
0	148
0	163
0	178
0	194
1	124
1	146
1	153
1	158
1	190
1	197
2	106
2	124
2	151
2	173
2	185
2	187
3	130
3	146
3	153
3	159
3	172
3	197
4	112
4	117
4	139
4	156
4	178
4	195
5	102
5	151
5	165
5	168
5	170
5	195
6	111
6	118
6	134
6	136
6	170
6	194
7	112
7	171
7	177
7	182
7	184
7	190
8	107
8	124
8	168
8	178
8	185
8	195
9	131
9	138
9	146
9	148
9	177
9	197
10	113
10	124
10	130
10	173
10	180
10	191
11	104
11	121
11	123
11	126
11	176
11	183
12	102
12	136
12	151
12	163
12	173
12	185
13	112
13	119
13	148
13	155
13	175
13	189
14	101
14	129
14	130
14	139
14	142
14	180
15	117
15	139
15	156
15	178
15	195
16	117
16	119
16	148
16	163
16	190
16	192
17	101
17	107
17	116
17	148
17	170
17	192
18	109
18	138
18	141
18	151
18	154
18	184
19	107
19	112
19	129
19	168
19	178
19	195
20	107
20	119
20	136
20	158
20	160
20	185
21	109
21	113
21	123
21	133
21	162
21	182
22	103
22	110
22	123
22	126
22	166
22	180
23	102
23	117
23	119
23	156
23	163
23	180
24	129
24	133
24	172
24	180
24	185
24	197
25	118
25	125
25	126
25	133
25	177
25	185
26	139
26	178
27	131
27	134
27	139
27	163
27	192
27	197
28	107
28	109
28	146
28	160
28	172
28	184
29	108
29	137
29	155
29	179
29	186
29	198
30	117
30	134
30	151
30	156
30	173
30	190
31	104
31	134
31	136
31	143
31	146
31	190
32	111
32	136
32	140
32	157
32	190
32	196
33	129
33	146
33	148
33	149
33	173
33	191
34	102
34	129
34	146
34	156
34	168
34	178
35	107
35	119
35	151
35	155
35	158
35	177
36	102
36	108
36	141
36	162
36	172
36	184
37	103
37	104
37	138
37	154
37	161
37	181
38	114
38	124
38	129
38	136
38	158
38	173
39	126
39	129
39	156
39	165
39	167
39	173
40	112
40	120
40	121
40	152
40	155
40	178
41	117
41	134
41	139
41	156
41	173
41	195
42	124
42	126
42	131
42	139
42	175
42	187
43	111
43	139
43	150
43	158
43	177
43	179
44	103
44	106
44	111
44	132
44	141
44	155
45	112
45	146
45	173
45	178
45	185
45	195
46	138
46	148
46	168
46	190
46	195
46	199
47	104
47	151
47	153
47	175
47	182
47	191
48	101
48	138
48	144
48	145
48	157
48	166
49	112
49	117
49	124
49	129
49	163
49	197
50	107
50	119
50	121
50	150
50	173
50	177
51	101
51	103
51	131
51	153
51	157
51	185
52	117
52	139
52	156
52	178
53	109
53	112
53	141
53	156
53	185
53	192
54	104
54	121
54	151
54	162
54	184
54	190
55	102
55	115
55	150
55	163
55	173
55	190
56	117
56	156
56	168
56	178
56	190
56	195
57	104
57	121
57	151
57	156
57	158
57	190
58	114
58	119
58	134
58	138
58	162
58	174
59	121
59	127
59	137
59	153
59	163
59	192
60	112
60	117
60	129
60	151
60	180
60	195
61	112
61	133
61	156
61	165
61	185
61	199
62	111
62	135
62	140
62	146
62	177
62	186
63	139
64	117
64	156
64	158
64	173
64	192
64	195
65	106
65	107
65	117
65	145
65	192
65	197
66	111
66	116
66	117
66	172
66	190
66	198
67	112
67	117
67	134
67	139
67	151
67	156
68	102
68	104
68	117
68	148
68	165
68	173
69	116
69	117
69	126
69	157
69	180
69	187
70	110
70	135
70	140
70	152
70	153
70	182
71	107
71	129
71	163
71	168
71	185
71	190
72	116
72	121
72	126
72	163
72	170
72	192
73	109
73	111
73	114
73	124
73	163
73	169
74	122
74	149
74	154
74	168
74	170
74	189
75	102
75	112
75	146
75	151
75	175
75	180
76	107
76	111
76	121
76	126
76	128
76	175
77	157
77	180
77	181
77	182
77	186
77	192
78	117
78	134
78	139
78	156
78	178
78	195
79	109
79	139
79	163
79	175
79	187
79	192
80	119
80	140
80	141
80	156
80	167
80	197
81	141
81	142
81	176
81	192
81	193
81	198
82	129
82	146
82	151
82	156
82	173
82	190
83	104
83	119
83	146
83	153
83	192
83	199
84	113
84	114
84	126
84	131
84	152
84	158
85	105
85	124
85	129
85	136
85	159
85	198
86	107
86	119
86	124
86	146
86	158
86	180
87	111
87	121
87	143
87	151
87	180
87	199
88	131
88	141
88	156
88	164
88	168
88	192
89	117
89	139
89	178
90	119
90	129
90	153
90	156
90	163
90	170
91	107
91	117
91	123
91	126
91	167
91	182
92	101
92	151
92	176
92	184
92	190
92	196
93	112
93	117
93	129
93	139
93	151
93	156
94	129
94	136
94	139
94	151
94	182
94	190
95	101
95	107
95	123
95	135
95	177
95	195
96	117
96	136
96	172
96	173
96	180
96	188
97	141
97	146
97	151
97	185
97	190
97	195
98	112
98	116
98	119
98	134
98	190
98	194
99	128
99	130
99	147
99	157
99	162
99	195
