12
0	1	4.14
0	2	7.82
0	3	7.76
0	4	6.24
0	5	4.72
0	6	3.31
0	7	5.61
0	8	6.65
0	9	5.63
0	10	7.08
0	11	6.08
1	2	6.04
1	3	6.84
1	4	5.27
1	5	6.2
1	6	5.91
1	7	3.3
1	8	7.05
1	9	3.96
1	10	3.49
1	11	7.47
2	3	5.38
2	4	7.05
2	5	3.46
2	6	4.52
2	7	4.41
2	8	6.33
2	9	5.69
2	10	4.9
2	11	5.06
3	4	4.81
3	5	6.52
3	6	6.16
3	7	6.63
3	8	5.31
3	9	3.71
3	10	3.6
3	11	7.91
4	5	7.8
4	6	7.82
4	7	6.82
4	8	5.74
4	9	4.39
4	10	5.12
4	11	6.64
5	6	7.3
5	7	3.07
5	8	4.64
5	9	4.5
5	10	5.13
5	11	3.23
6	7	4.65
6	8	3.76
6	9	7.09
6	10	3.93
6	11	6.04
7	8	5.04
7	9	4.35
7	10	3.04
7	11	6.29
8	9	5.06
8	10	6.31
8	11	3.2
9	10	3.17
9	11	6.07
10	11	7.13
