12
0	1	3.94
0	2	8.45
0	3	8.07
0	4	8.4
0	5	1.52
0	6	5.34
0	7	7.42
0	8	4.46
0	9	9.19
0	10	6.62
0	11	9.52
1	2	5.16
1	3	4.18
1	4	5.25
1	5	2.52
1	6	2.15
1	7	7.1
1	8	1.32
1	9	7.12
1	10	4.12
1	11	5.94
2	3	4.36
2	4	0.43
2	5	6.97
2	6	6.03
2	7	11.68
2	8	5.9
2	9	10.35
2	10	7.74
2	11	1.44
3	4	4.72
3	5	6.69
3	6	3.22
3	7	8.25
3	8	3.8
3	9	6.18
3	10	4.05
3	11	3.98
4	5	6.94
4	6	6.24
4	7	11.9
4	8	6.06
4	9	10.66
4	10	8
4	11	1.78
5	6	4.22
5	7	7.45
5	8	3.28
5	9	8.6
5	10	5.79
5	11	8.02
6	7	5.67
6	8	0.96
6	9	5.03
6	10	2.04
6	11	6.34
7	8	5.96
7	9	3.75
7	10	4.22
7	11	11.92
8	9	5.82
8	10	2.82
8	11	6.42
9	10	3.02
9	11	10.14
10	11	7.8
